Ticket_ID,Created_Date,Closed_Date,Office,Category,Priority,Status,Assigned_Team,Days_Open,SLA_Target_Days,SLA_Status,Customer_Type,Aging_Bucket
TCK-10222,2025-04-10,2025-04-12,Program Management,Report Request,Medium,Closed,Tier 1 Support,2,7,Met,Program Office,0-3 days
TCK-10223,2025-02-12,2025-02-13,Human Resources,Account Access,High,Closed,Reporting Team,1,4,Met,Leadership Office,0-3 days
TCK-10224,2025-03-04,2025-03-08,Operations,Account Access,Low,Closed,Tier 1 Support,4,10,Met,Program Office,4-7 days
TCK-10225,2026-03-09,,Human Resources,System Error,Medium,Pending Customer,Tier 1 Support,52,7,Missed,Program Office,15+ days
TCK-10226,2025-11-17,2025-11-27,Program Management,Report Request,Low,Closed,Reporting Team,10,10,Met,Internal User,8-14 days
TCK-10227,2025-04-03,,Human Resources,Account Access,Medium,Pending Customer,CRM Admin,392,7,Missed,Program Office,15+ days
TCK-10228,2025-09-05,2025-09-05,Human Resources,Data Correction,Critical,Closed,Systems Team,0,2,Met,Leadership Office,0-3 days
TCK-10229,2025-05-11,,IT Services,Data Correction,High,Open,Tier 2 Support,354,4,Missed,Program Office,15+ days
TCK-10230,2025-02-28,,Operations,Data Correction,High,Open,Tier 1 Support,426,4,Missed,Leadership Office,15+ days
TCK-10231,2025-12-21,2025-12-21,Finance,User Permissions,High,Closed,Systems Team,0,4,Met,Leadership Office,0-3 days
TCK-10232,2025-05-31,2025-06-06,Program Management,Training Request,Medium,Closed,Reporting Team,6,7,Met,Internal User,4-7 days
TCK-10233,2025-05-09,2025-05-18,Program Management,Account Access,Low,Closed,Systems Team,9,10,Met,Leadership Office,8-14 days
TCK-10234,2025-06-09,2025-06-15,Policy,System Error,Low,Closed,Reporting Team,6,10,Met,Program Office,4-7 days
TCK-10235,2025-08-05,2025-08-10,Program Management,System Error,Medium,Closed,Tier 2 Support,5,7,Met,Leadership Office,4-7 days
TCK-10236,2025-06-30,2025-07-07,Human Resources,System Error,Medium,Closed,Tier 2 Support,7,7,Met,Internal User,4-7 days
TCK-10237,2025-09-19,2025-09-20,IT Services,Report Request,Medium,Closed,Reporting Team,1,7,Met,Internal User,0-3 days
TCK-10238,2025-02-28,2025-03-04,Operations,Report Request,Low,Closed,Tier 2 Support,4,10,Met,Internal User,4-7 days
TCK-10239,2025-04-21,2025-04-27,Finance,User Permissions,Medium,Closed,Tier 1 Support,6,7,Met,Leadership Office,4-7 days
TCK-10240,2025-06-18,2025-06-24,Finance,Data Correction,Low,Closed,Systems Team,6,10,Met,Internal User,4-7 days
TCK-10241,2025-07-17,2025-07-23,Policy,Training Request,Medium,Closed,Tier 1 Support,6,7,Met,Leadership Office,4-7 days
TCK-10242,2025-11-27,2025-12-06,Finance,Report Request,Medium,Closed,Tier 2 Support,9,7,Missed,Internal User,8-14 days
TCK-10243,2025-01-26,2025-02-02,Human Resources,System Error,High,Closed,Tier 2 Support,7,4,Missed,Leadership Office,4-7 days
TCK-10244,2025-06-17,2025-06-22,Human Resources,Report Request,Medium,Closed,Tier 1 Support,5,7,Met,Leadership Office,4-7 days
TCK-10245,2026-02-06,,Program Management,Account Access,High,Escalated,Systems Team,83,4,Missed,Leadership Office,15+ days
TCK-10246,2025-01-21,,Program Management,Account Access,Medium,Open,Reporting Team,464,7,Missed,Leadership Office,15+ days
TCK-10247,2025-06-04,2025-06-06,Finance,System Error,Medium,Closed,Systems Team,2,7,Met,Internal User,0-3 days
TCK-10248,2025-07-21,,Program Management,User Permissions,Medium,Escalated,Tier 1 Support,283,7,Missed,Program Office,15+ days
TCK-10249,2025-11-13,2025-11-21,Finance,User Permissions,Low,Closed,Reporting Team,8,10,Met,Internal User,8-14 days
TCK-10250,2025-03-29,2025-04-04,Finance,Training Request,Low,Closed,Tier 1 Support,6,10,Met,Leadership Office,4-7 days
TCK-10251,2026-03-21,,Finance,Account Access,Low,Pending Customer,CRM Admin,40,10,Missed,Program Office,15+ days
TCK-10252,2025-12-19,2025-12-25,Finance,User Permissions,Medium,Closed,Tier 2 Support,6,7,Met,Internal User,4-7 days
TCK-10253,2025-10-26,,Program Management,User Permissions,Medium,Open,Reporting Team,186,7,Missed,Leadership Office,15+ days
TCK-10254,2025-03-04,2025-03-06,Program Management,User Permissions,Medium,Closed,Reporting Team,2,7,Met,Program Office,0-3 days
TCK-10255,2025-06-14,2025-06-22,Policy,Account Access,High,Closed,CRM Admin,8,4,Missed,Leadership Office,8-14 days
TCK-10256,2026-03-04,2026-03-10,Policy,Data Correction,High,Closed,Tier 1 Support,6,4,Missed,Internal User,4-7 days
TCK-10257,2025-09-11,,Operations,System Error,Low,Open,Tier 1 Support,231,10,Missed,Program Office,15+ days
TCK-10258,2025-04-17,2025-04-26,IT Services,Report Request,High,Closed,CRM Admin,9,4,Missed,Leadership Office,8-14 days
TCK-10259,2025-08-21,,Finance,System Error,Medium,Pending Customer,Reporting Team,252,7,Missed,Leadership Office,15+ days
TCK-10260,2025-09-20,2025-09-28,Human Resources,Report Request,Low,Closed,Reporting Team,8,10,Met,Internal User,8-14 days
TCK-10261,2025-12-18,,Human Resources,User Permissions,Medium,Pending Customer,Tier 1 Support,133,7,Missed,Internal User,15+ days
TCK-10262,2025-01-09,,Human Resources,System Error,High,Open,Systems Team,476,4,Missed,Program Office,15+ days
TCK-10263,2025-06-30,,Operations,System Error,Medium,Escalated,Systems Team,304,7,Missed,Program Office,15+ days
TCK-10264,2025-09-18,2025-09-25,Finance,Account Access,Medium,Closed,Tier 1 Support,7,7,Met,Leadership Office,4-7 days
TCK-10265,2025-07-15,2025-07-18,IT Services,Report Request,High,Closed,Systems Team,3,4,Met,Leadership Office,0-3 days
TCK-10266,2025-09-10,,Human Resources,User Permissions,Medium,Open,Tier 2 Support,232,7,Missed,Internal User,15+ days
TCK-10267,2025-04-23,,IT Services,Account Access,Low,Pending Customer,CRM Admin,372,10,Missed,Internal User,15+ days
TCK-10268,2026-03-28,2026-04-01,Program Management,System Error,Medium,Closed,Tier 1 Support,4,7,Met,Internal User,4-7 days
TCK-10269,2026-01-11,2026-01-13,Operations,Report Request,High,Closed,CRM Admin,2,4,Met,Leadership Office,0-3 days
TCK-10270,2025-11-02,,Operations,Training Request,Medium,Open,Systems Team,179,7,Missed,Program Office,15+ days
TCK-10271,2026-01-14,,Human Resources,Data Correction,Medium,Pending Customer,Tier 2 Support,106,7,Missed,Program Office,15+ days
TCK-10272,2025-08-22,,Program Management,System Error,Low,Open,CRM Admin,251,10,Missed,Internal User,15+ days
TCK-10273,2025-04-01,,Human Resources,Training Request,Critical,Pending Customer,CRM Admin,394,2,Missed,Program Office,15+ days
TCK-10274,2025-10-26,,Program Management,Account Access,Low,Pending Customer,Tier 1 Support,186,10,Missed,Internal User,15+ days
TCK-10275,2025-10-18,2025-10-24,Operations,Account Access,Medium,Closed,Tier 1 Support,6,7,Met,Program Office,4-7 days
TCK-10276,2026-02-16,2026-02-23,Policy,Report Request,High,Closed,Systems Team,7,4,Missed,Program Office,4-7 days
TCK-10277,2025-12-06,2025-12-14,Policy,Report Request,Medium,Closed,Systems Team,8,7,Missed,Leadership Office,8-14 days
TCK-10278,2026-03-15,,Program Management,Account Access,High,Pending Customer,CRM Admin,46,4,Missed,Leadership Office,15+ days
TCK-10279,2025-09-23,,Policy,Data Correction,High,Open,CRM Admin,219,4,Missed,Program Office,15+ days
TCK-10280,2025-01-16,2025-01-23,Program Management,Report Request,Low,Closed,Tier 2 Support,7,10,Met,Leadership Office,4-7 days
TCK-10281,2025-02-15,,Policy,User Permissions,Low,Escalated,Systems Team,439,10,Missed,Program Office,15+ days
TCK-10282,2026-03-25,2026-03-25,Policy,Report Request,Medium,Closed,CRM Admin,0,7,Met,Program Office,0-3 days
TCK-10283,2025-10-29,,IT Services,User Permissions,Medium,Escalated,CRM Admin,183,7,Missed,Leadership Office,15+ days
TCK-10284,2025-03-04,2025-03-10,Finance,Report Request,Medium,Closed,Tier 1 Support,6,7,Met,Internal User,4-7 days
TCK-10285,2025-09-13,,Finance,Training Request,High,Open,Systems Team,229,4,Missed,Leadership Office,15+ days
TCK-10286,2025-03-25,2025-03-27,Finance,Account Access,Medium,Closed,Reporting Team,2,7,Met,Internal User,0-3 days
TCK-10287,2025-04-22,2025-04-30,Program Management,Report Request,Medium,Closed,Tier 1 Support,8,7,Missed,Internal User,8-14 days
TCK-10288,2025-05-09,,IT Services,User Permissions,Low,Pending Customer,Systems Team,356,10,Missed,Internal User,15+ days
TCK-10289,2025-02-14,,Human Resources,Report Request,High,Open,Tier 2 Support,440,4,Missed,Internal User,15+ days
TCK-10290,2025-08-31,2025-08-31,Policy,User Permissions,High,Closed,Reporting Team,0,4,Met,Program Office,0-3 days
TCK-10291,2025-07-24,,Finance,Data Correction,Critical,Open,Systems Team,280,2,Missed,Program Office,15+ days
TCK-10292,2025-12-14,2025-12-20,Operations,User Permissions,High,Closed,Tier 2 Support,6,4,Missed,Program Office,4-7 days
TCK-10293,2025-03-11,,Policy,System Error,Medium,Open,Systems Team,415,7,Missed,Internal User,15+ days
TCK-10294,2025-07-12,,Human Resources,Data Correction,High,Pending Customer,Systems Team,292,4,Missed,Program Office,15+ days
TCK-10295,2025-12-22,,Program Management,System Error,Medium,Escalated,Reporting Team,129,7,Missed,Program Office,15+ days
TCK-10296,2025-08-25,2025-08-29,Program Management,Account Access,Low,Closed,Tier 2 Support,4,10,Met,Leadership Office,4-7 days
TCK-10297,2025-06-04,2025-06-05,IT Services,Report Request,High,Closed,Tier 1 Support,1,4,Met,Program Office,0-3 days
TCK-10298,2025-03-06,,IT Services,System Error,Medium,Open,Tier 1 Support,420,7,Missed,Internal User,15+ days
TCK-10299,2025-01-29,,Finance,Training Request,Medium,Escalated,Reporting Team,456,7,Missed,Leadership Office,15+ days
TCK-10300,2025-06-19,,IT Services,User Permissions,High,Open,Systems Team,315,4,Missed,Leadership Office,15+ days
TCK-10301,2026-01-03,2026-01-14,Program Management,Data Correction,Low,Closed,Tier 2 Support,11,10,Missed,Leadership Office,8-14 days
TCK-10302,2025-11-24,2025-12-01,Finance,User Permissions,High,Closed,Tier 1 Support,7,4,Missed,Program Office,4-7 days
TCK-10303,2025-11-16,,Human Resources,Training Request,Medium,Open,Tier 1 Support,165,7,Missed,Internal User,15+ days
TCK-10304,2025-04-15,,IT Services,System Error,Low,Open,Reporting Team,380,10,Missed,Internal User,15+ days
TCK-10305,2025-03-04,2025-03-10,IT Services,Report Request,Medium,Closed,Systems Team,6,7,Met,Leadership Office,4-7 days
TCK-10306,2025-08-13,2025-08-19,Program Management,Data Correction,High,Closed,Tier 1 Support,6,4,Missed,Internal User,4-7 days
TCK-10307,2025-03-14,2025-03-20,IT Services,Data Correction,High,Closed,Reporting Team,6,4,Missed,Program Office,4-7 days
TCK-10308,2025-05-29,,IT Services,System Error,Medium,Open,CRM Admin,336,7,Missed,Leadership Office,15+ days
TCK-10309,2025-05-21,2025-05-29,Program Management,Data Correction,Medium,Closed,Tier 1 Support,8,7,Missed,Program Office,8-14 days
TCK-10310,2025-08-23,2025-09-01,IT Services,Report Request,Low,Closed,Tier 1 Support,9,10,Met,Leadership Office,8-14 days
TCK-10311,2025-11-30,2025-12-10,Operations,System Error,High,Closed,Reporting Team,10,4,Missed,Program Office,8-14 days
TCK-10312,2025-01-05,2025-01-08,IT Services,Data Correction,Critical,Closed,CRM Admin,3,2,Missed,Leadership Office,0-3 days
TCK-10313,2025-09-26,,Policy,Training Request,Medium,Open,CRM Admin,216,7,Missed,Program Office,15+ days
TCK-10314,2026-01-02,,Policy,Report Request,High,Open,Reporting Team,118,4,Missed,Internal User,15+ days
TCK-10315,2026-03-06,2026-03-07,IT Services,User Permissions,Medium,Closed,Systems Team,1,7,Met,Leadership Office,0-3 days
TCK-10316,2025-09-27,2025-10-03,IT Services,Training Request,Medium,Closed,CRM Admin,6,7,Met,Leadership Office,4-7 days
TCK-10317,2025-11-13,,Operations,Account Access,High,Open,Tier 1 Support,168,4,Missed,Program Office,15+ days
TCK-10318,2025-12-14,2025-12-20,Policy,Data Correction,Medium,Closed,Tier 1 Support,6,7,Met,Internal User,4-7 days
TCK-10319,2026-01-08,2026-01-11,IT Services,Report Request,High,Closed,Tier 1 Support,3,4,Met,Internal User,0-3 days
TCK-10320,2026-03-10,2026-03-14,Finance,Training Request,High,Closed,Tier 1 Support,4,4,Met,Internal User,4-7 days
TCK-10321,2025-06-14,2025-06-24,IT Services,Data Correction,Low,Closed,Tier 2 Support,10,10,Met,Program Office,8-14 days
TCK-10322,2025-09-09,2025-09-18,Operations,User Permissions,Medium,Closed,Tier 2 Support,9,7,Missed,Program Office,8-14 days
TCK-10323,2026-02-21,2026-02-27,Policy,Account Access,Medium,Closed,Tier 2 Support,6,7,Met,Internal User,4-7 days
TCK-10324,2026-02-19,,Program Management,Training Request,Low,Open,Systems Team,70,10,Missed,Internal User,15+ days
TCK-10325,2025-06-24,2025-07-05,Program Management,Data Correction,Low,Closed,Tier 2 Support,11,10,Missed,Leadership Office,8-14 days
TCK-10326,2026-02-28,2026-03-03,IT Services,Training Request,Medium,Closed,Tier 2 Support,3,7,Met,Internal User,0-3 days
TCK-10327,2025-08-13,2025-08-20,IT Services,Report Request,Medium,Closed,Tier 1 Support,7,7,Met,Internal User,4-7 days
TCK-10328,2025-09-13,2025-09-21,Finance,Account Access,Low,Closed,Tier 2 Support,8,10,Met,Program Office,8-14 days
TCK-10329,2026-03-01,2026-03-12,Finance,Account Access,Medium,Closed,Systems Team,11,7,Missed,Leadership Office,8-14 days
TCK-10330,2025-05-04,,IT Services,Report Request,High,Escalated,Reporting Team,361,4,Missed,Leadership Office,15+ days
TCK-10331,2025-01-30,,Finance,User Permissions,Medium,Pending Customer,Tier 1 Support,455,7,Missed,Internal User,15+ days
TCK-10332,2025-06-23,2025-06-25,Human Resources,Data Correction,Medium,Closed,Tier 2 Support,2,7,Met,Leadership Office,0-3 days
TCK-10333,2026-02-23,,Operations,System Error,High,Escalated,Tier 1 Support,66,4,Missed,Leadership Office,15+ days
TCK-10334,2025-11-09,2025-11-09,Human Resources,Report Request,High,Closed,Tier 1 Support,0,4,Met,Program Office,0-3 days
TCK-10335,2025-11-03,,Operations,Report Request,High,Escalated,Tier 1 Support,178,4,Missed,Internal User,15+ days
TCK-10336,2025-01-19,2025-01-22,Finance,System Error,Medium,Closed,Reporting Team,3,7,Met,Program Office,0-3 days
TCK-10337,2026-02-05,,Operations,Training Request,High,Escalated,Systems Team,84,4,Missed,Program Office,15+ days
TCK-10338,2025-12-16,,Program Management,Account Access,Medium,Open,Reporting Team,135,7,Missed,Program Office,15+ days
TCK-10339,2025-12-23,2025-12-29,Human Resources,Training Request,Low,Closed,CRM Admin,6,10,Met,Program Office,4-7 days
TCK-10340,2025-04-10,,Operations,Data Correction,Medium,Pending Customer,Tier 1 Support,385,7,Missed,Leadership Office,15+ days
TCK-10341,2025-01-06,2025-01-18,IT Services,Account Access,Low,Closed,Tier 1 Support,12,10,Missed,Leadership Office,8-14 days
TCK-10342,2025-05-08,,Operations,System Error,High,Open,Tier 2 Support,357,4,Missed,Program Office,15+ days
TCK-10343,2025-01-23,2025-02-06,Operations,Training Request,Medium,Closed,Reporting Team,14,7,Missed,Program Office,8-14 days
TCK-10344,2025-12-03,,Finance,Training Request,Low,Open,Tier 2 Support,148,10,Missed,Program Office,15+ days
TCK-10345,2025-12-28,2026-01-02,Policy,Report Request,High,Closed,CRM Admin,5,4,Missed,Leadership Office,4-7 days
TCK-10346,2025-05-30,2025-06-01,Finance,Report Request,High,Closed,Systems Team,2,4,Met,Leadership Office,0-3 days
TCK-10347,2025-02-23,,Finance,Account Access,Low,Pending Customer,Tier 2 Support,431,10,Missed,Internal User,15+ days
TCK-10348,2026-03-07,2026-03-07,Policy,Training Request,Critical,Closed,Tier 2 Support,0,2,Met,Internal User,0-3 days
TCK-10349,2025-07-10,2025-07-16,Program Management,User Permissions,High,Closed,Reporting Team,6,4,Missed,Internal User,4-7 days
TCK-10350,2025-01-11,,Finance,Training Request,Medium,Open,Reporting Team,474,7,Missed,Program Office,15+ days
TCK-10351,2026-02-28,,Human Resources,System Error,Critical,Open,Reporting Team,61,2,Missed,Program Office,15+ days
TCK-10352,2025-01-23,2025-01-28,Policy,System Error,Low,Closed,Systems Team,5,10,Met,Internal User,4-7 days
TCK-10353,2025-12-05,2025-12-10,IT Services,Report Request,Medium,Closed,CRM Admin,5,7,Met,Leadership Office,4-7 days
TCK-10354,2025-04-21,2025-04-25,IT Services,System Error,High,Closed,Reporting Team,4,4,Met,Leadership Office,4-7 days
TCK-10355,2026-01-12,2026-01-12,Policy,Report Request,High,Closed,Systems Team,0,4,Met,Program Office,0-3 days
TCK-10356,2025-08-06,2025-08-09,IT Services,Report Request,Medium,Closed,Tier 2 Support,3,7,Met,Program Office,0-3 days
TCK-10357,2025-08-28,,Policy,Report Request,High,Escalated,Tier 1 Support,245,4,Missed,Internal User,15+ days
TCK-10358,2026-01-30,2026-02-05,Program Management,Account Access,Medium,Closed,Systems Team,6,7,Met,Program Office,4-7 days
TCK-10359,2025-07-05,2025-07-08,Human Resources,Account Access,Medium,Closed,CRM Admin,3,7,Met,Leadership Office,0-3 days
TCK-10360,2025-12-05,2025-12-06,Operations,System Error,Medium,Closed,Reporting Team,1,7,Met,Internal User,0-3 days
TCK-10361,2025-08-14,,IT Services,Data Correction,Low,Open,Reporting Team,259,10,Missed,Internal User,15+ days
TCK-10362,2025-10-24,2025-10-31,IT Services,Training Request,High,Closed,CRM Admin,7,4,Missed,Internal User,4-7 days
TCK-10363,2025-08-14,2025-08-21,Operations,Data Correction,Low,Closed,Tier 2 Support,7,10,Met,Internal User,4-7 days
TCK-10364,2026-03-23,,Human Resources,User Permissions,Medium,Open,Tier 1 Support,38,7,Missed,Internal User,15+ days
TCK-10365,2025-12-17,2025-12-21,Operations,Account Access,Medium,Closed,CRM Admin,4,7,Met,Program Office,4-7 days
TCK-10366,2025-01-09,,Finance,Training Request,Medium,Pending Customer,Tier 1 Support,476,7,Missed,Leadership Office,15+ days
TCK-10367,2025-05-01,,Operations,Data Correction,Medium,Open,CRM Admin,364,7,Missed,Leadership Office,15+ days
TCK-10368,2025-07-10,2025-07-15,Human Resources,User Permissions,High,Closed,Reporting Team,5,4,Missed,Program Office,4-7 days
TCK-10369,2025-03-15,2025-03-17,Policy,Report Request,Low,Closed,Reporting Team,2,10,Met,Program Office,0-3 days
TCK-10370,2025-11-15,2025-11-29,Finance,Data Correction,Low,Closed,Systems Team,14,10,Missed,Internal User,8-14 days
TCK-10371,2025-02-24,2025-02-24,IT Services,Training Request,Medium,Closed,CRM Admin,0,7,Met,Internal User,0-3 days
TCK-10372,2025-07-13,,Policy,Data Correction,High,Open,Reporting Team,291,4,Missed,Leadership Office,15+ days
TCK-10373,2025-02-10,,IT Services,User Permissions,Critical,Escalated,Systems Team,444,2,Missed,Leadership Office,15+ days
TCK-10374,2025-08-03,,IT Services,Account Access,Medium,Open,Systems Team,270,7,Missed,Program Office,15+ days
TCK-10375,2025-12-04,2025-12-09,Finance,Data Correction,Medium,Closed,CRM Admin,5,7,Met,Internal User,4-7 days
TCK-10376,2026-02-14,2026-02-23,Program Management,Report Request,High,Closed,Tier 1 Support,9,4,Missed,Leadership Office,8-14 days
TCK-10377,2025-05-04,,IT Services,Training Request,Medium,Escalated,Tier 1 Support,361,7,Missed,Program Office,15+ days
TCK-10378,2025-12-01,2025-12-07,Program Management,Data Correction,Medium,Closed,Systems Team,6,7,Met,Internal User,4-7 days
TCK-10379,2025-10-03,,IT Services,Report Request,Low,Pending Customer,CRM Admin,209,10,Missed,Program Office,15+ days
TCK-10380,2025-06-10,2025-06-14,IT Services,Data Correction,Low,Closed,Systems Team,4,10,Met,Program Office,4-7 days
TCK-10381,2025-11-20,,Operations,Account Access,High,Open,Reporting Team,161,4,Missed,Program Office,15+ days
TCK-10382,2026-01-27,,Policy,Account Access,Medium,Escalated,Tier 2 Support,93,7,Missed,Internal User,15+ days
TCK-10383,2026-03-03,2026-03-10,IT Services,System Error,Medium,Closed,Reporting Team,7,7,Met,Program Office,4-7 days
TCK-10384,2025-03-07,2025-03-12,Policy,Report Request,Medium,Closed,Tier 1 Support,5,7,Met,Program Office,4-7 days
TCK-10385,2026-02-27,2026-02-27,Human Resources,Account Access,High,Closed,CRM Admin,0,4,Met,Program Office,0-3 days
TCK-10386,2025-07-29,2025-07-29,Program Management,Report Request,Medium,Closed,Reporting Team,0,7,Met,Leadership Office,0-3 days
TCK-10387,2025-03-10,2025-03-10,IT Services,Account Access,High,Closed,Tier 2 Support,0,4,Met,Internal User,0-3 days
TCK-10388,2025-10-31,2025-11-03,Program Management,System Error,Medium,Closed,CRM Admin,3,7,Met,Program Office,0-3 days
TCK-10389,2025-04-01,2025-04-08,Finance,System Error,Medium,Closed,CRM Admin,7,7,Met,Internal User,4-7 days
TCK-10390,2025-10-16,2025-10-21,IT Services,System Error,Medium,Closed,CRM Admin,5,7,Met,Program Office,4-7 days
TCK-10391,2025-07-16,,Policy,User Permissions,Medium,Open,Tier 2 Support,288,7,Missed,Program Office,15+ days
TCK-10392,2025-09-23,,Finance,Account Access,Medium,Pending Customer,CRM Admin,219,7,Missed,Program Office,15+ days
TCK-10393,2025-03-26,2025-03-28,Finance,Report Request,Low,Closed,Systems Team,2,10,Met,Internal User,0-3 days
TCK-10394,2025-04-29,,Operations,Training Request,Medium,Open,Systems Team,366,7,Missed,Internal User,15+ days
TCK-10395,2025-01-15,,Operations,Account Access,Medium,Open,Reporting Team,470,7,Missed,Internal User,15+ days
TCK-10396,2025-07-09,,IT Services,System Error,Low,Escalated,Reporting Team,295,10,Missed,Leadership Office,15+ days
TCK-10397,2025-03-06,2025-03-13,Human Resources,System Error,High,Closed,Reporting Team,7,4,Missed,Program Office,4-7 days
TCK-10398,2025-05-15,,Finance,User Permissions,Low,Open,Tier 1 Support,350,10,Missed,Program Office,15+ days
TCK-10399,2026-02-16,2026-02-23,IT Services,Report Request,Low,Closed,CRM Admin,7,10,Met,Program Office,4-7 days
TCK-10400,2025-11-19,2025-11-20,Human Resources,User Permissions,High,Closed,CRM Admin,1,4,Met,Internal User,0-3 days
TCK-10401,2025-08-10,2025-08-16,IT Services,User Permissions,Low,Closed,Tier 1 Support,6,10,Met,Leadership Office,4-7 days
TCK-10402,2025-11-18,,Program Management,Data Correction,Low,Open,Tier 2 Support,163,10,Missed,Program Office,15+ days
TCK-10403,2025-08-29,2025-09-05,Operations,User Permissions,Low,Closed,Tier 1 Support,7,10,Met,Leadership Office,4-7 days
TCK-10404,2026-03-15,2026-03-16,Program Management,Account Access,High,Closed,Reporting Team,1,4,Met,Leadership Office,0-3 days
TCK-10405,2025-11-09,,Program Management,User Permissions,Low,Open,Systems Team,172,10,Missed,Internal User,15+ days
TCK-10406,2025-11-23,2025-11-30,Operations,Report Request,Medium,Closed,Tier 2 Support,7,7,Met,Program Office,4-7 days
TCK-10407,2025-12-09,2025-12-12,Program Management,Report Request,Medium,Closed,Tier 1 Support,3,7,Met,Internal User,0-3 days
TCK-10408,2025-02-27,,Finance,System Error,Critical,Pending Customer,Reporting Team,427,2,Missed,Program Office,15+ days
TCK-10409,2025-05-07,,Human Resources,Report Request,Medium,Open,Reporting Team,358,7,Missed,Leadership Office,15+ days
TCK-10410,2025-03-07,2025-03-11,Program Management,Training Request,High,Closed,Reporting Team,4,4,Met,Leadership Office,4-7 days
TCK-10411,2025-05-01,2025-05-10,Program Management,Account Access,Low,Closed,Systems Team,9,10,Met,Program Office,8-14 days
TCK-10412,2025-05-14,2025-05-25,Program Management,System Error,Medium,Closed,Reporting Team,11,7,Missed,Program Office,8-14 days
TCK-10413,2025-01-28,2025-01-31,Finance,System Error,Medium,Closed,Reporting Team,3,7,Met,Internal User,0-3 days
TCK-10414,2025-10-21,2025-10-29,Policy,Account Access,High,Closed,Systems Team,8,4,Missed,Leadership Office,8-14 days
TCK-10415,2025-06-18,2025-06-26,Program Management,Account Access,Low,Closed,CRM Admin,8,10,Met,Program Office,8-14 days
TCK-10416,2026-01-28,,Human Resources,Training Request,High,Open,Tier 2 Support,92,4,Missed,Program Office,15+ days
TCK-10417,2025-10-02,,Operations,Report Request,Low,Open,Tier 2 Support,210,10,Missed,Program Office,15+ days
TCK-10418,2025-06-19,2025-06-23,Operations,Account Access,Medium,Closed,Tier 1 Support,4,7,Met,Internal User,4-7 days
TCK-10419,2026-01-22,,Operations,Report Request,High,Open,CRM Admin,98,4,Missed,Internal User,15+ days
TCK-10420,2025-04-28,2025-05-06,Human Resources,Report Request,Medium,Closed,Tier 1 Support,8,7,Missed,Program Office,8-14 days
TCK-10421,2025-12-02,2025-12-12,Human Resources,Account Access,Medium,Closed,Systems Team,10,7,Missed,Leadership Office,8-14 days
TCK-10422,2025-12-27,2025-12-27,Human Resources,User Permissions,High,Closed,Systems Team,0,4,Met,Leadership Office,0-3 days
TCK-10423,2025-03-19,2025-03-22,Finance,Report Request,Low,Closed,Reporting Team,3,10,Met,Leadership Office,0-3 days
TCK-10424,2026-01-16,2026-01-27,Operations,Account Access,Low,Closed,CRM Admin,11,10,Missed,Leadership Office,8-14 days
TCK-10425,2025-10-23,2025-11-04,IT Services,Report Request,Medium,Closed,Reporting Team,12,7,Missed,Program Office,8-14 days
TCK-10426,2025-12-26,2026-01-05,Human Resources,System Error,Medium,Closed,Reporting Team,10,7,Missed,Program Office,8-14 days
TCK-10427,2026-01-26,,Program Management,Data Correction,Medium,Open,Reporting Team,94,7,Missed,Program Office,15+ days
TCK-10428,2025-09-02,2025-09-16,Finance,Data Correction,Medium,Closed,Tier 1 Support,14,7,Missed,Internal User,8-14 days
TCK-10429,2025-10-15,,Operations,System Error,Low,Pending Customer,Systems Team,197,10,Missed,Program Office,15+ days
TCK-10430,2025-09-25,2025-09-29,Operations,Account Access,High,Closed,Reporting Team,4,4,Met,Program Office,4-7 days
TCK-10431,2025-07-30,2025-08-06,IT Services,Training Request,Medium,Closed,Reporting Team,7,7,Met,Internal User,4-7 days
TCK-10432,2025-05-18,2025-05-26,Program Management,Training Request,Medium,Closed,Reporting Team,8,7,Missed,Program Office,8-14 days
TCK-10433,2025-11-30,2025-12-04,Policy,User Permissions,Low,Closed,Tier 1 Support,4,10,Met,Internal User,4-7 days
TCK-10434,2025-08-06,2025-08-12,Human Resources,Data Correction,Medium,Closed,Systems Team,6,7,Met,Leadership Office,4-7 days
TCK-10435,2025-03-04,2025-03-12,Program Management,System Error,Low,Closed,Tier 2 Support,8,10,Met,Leadership Office,8-14 days
TCK-10436,2026-02-16,,IT Services,System Error,Medium,Open,Reporting Team,73,7,Missed,Internal User,15+ days
TCK-10437,2025-06-01,,Finance,Training Request,Low,Escalated,CRM Admin,333,10,Missed,Leadership Office,15+ days
TCK-10438,2026-04-01,2026-04-01,Operations,Report Request,Medium,Closed,Systems Team,0,7,Met,Leadership Office,0-3 days
TCK-10439,2025-04-15,,Program Management,System Error,High,Escalated,Tier 2 Support,380,4,Missed,Program Office,15+ days
TCK-10440,2026-01-18,,Operations,Data Correction,High,Pending Customer,Systems Team,102,4,Missed,Leadership Office,15+ days
TCK-10441,2026-03-01,2026-03-08,Human Resources,Report Request,Medium,Closed,Tier 2 Support,7,7,Met,Internal User,4-7 days
TCK-10442,2025-12-22,2026-01-02,Human Resources,Account Access,Low,Closed,Systems Team,11,10,Missed,Program Office,8-14 days
TCK-10443,2025-11-01,2025-11-06,Policy,Account Access,Low,Closed,Tier 2 Support,5,10,Met,Program Office,4-7 days
TCK-10444,2025-05-26,,IT Services,User Permissions,High,Pending Customer,CRM Admin,339,4,Missed,Program Office,15+ days
